Center Node,Neighbor,Degree Centrality
107,1684,0.3404850741406379
107,1085,0.1551625778236903
107,0,0.14447964292289805
107,58,0.08573009726326902
107,428,0.06267231951568793
107,563,0.058650717605708294
107,1577,0.042879208813366695
107,1718,0.0410701338416483
107,414,0.03818674677035682
107,348,0.03124070152222771
107,1465,0.023165147790601286
107,171,0.015224305525465434
107,483,0.00979871866311155
107,376,0.007498176057306656
107,1420,0.00662942629657728
107,1534,0.006565063633314552
107,1666,0.0054313348816002515
107,1405,0.0038593062474804635
107,1165,0.003684189796532391
107,475,0.0036304672532581
107,1505,0.002956820276990173
107,484,0.0028602223177462737
107,1361,0.002379973755424451
107,353,0.0023503452496166236
107,1656,0.002337209561308532
107,651,0.002185636680273776
107,1642,0.0021433851201292007
107,1171,0.002130222928833543
107,517,0.0018725624626521199
107,566,0.0017199813022168934
107,1758,0.0016661861386444157
107,580,0.0016637572442179645
107,363,0.0015249911965264716
107,637,0.0014879983659368508
107,366,0.0014646293479694565
107,1553,0.00138652995683778
107,606,0.0013638923247071865
107,1173,0.0013575188625144512
107,526,0.0013060359888476857
107,1663,0.0012954759889548277
107,1352,0.0011629159168893165
107,1419,0.0011549592519304107
107,925,0.0011369164905251118
107,538,0.0011126792232127717
107,1687,0.0010959155075983254
107,1518,0.001053867134933006
107,916,0.0010303552670492882
107,1376,0.0010295412303362777
107,596,0.001023045379866473
107,389,0.0010108676314584332
